"guideline anchor","guideline url",mirror_file,timestamp
"Cataracts in adults: management.",https://www.guideline.gov/summaries/summary/51178/cataracts-in-adults-management,./cataracts-in-adults-management,20180712170301
"Clinical practice guideline on management of patients with diabetes and chronic kidney disease stage 3b or higher (eGFR <45 mL/min).",https://www.guideline.gov/summaries/summary/49495/clinical-practice-guideline-on-management-of-patients-with-diabetes-and-chronic-kidney-disease-stage-3b-or-higher-egfr--45-mlmin,./clinical-practice-guideline-on-management-of-patients-with-diabetes-and-chronic-kidney-disease-stage-3b-or-higher-egfr--45-mlmin,20180712165752
"Diagnosis and treatment of degenerative lumbar spondylolisthesis.",https://www.guideline.gov/summaries/summary/48994/diagnosis-and-treatment-of-degenerative-lumbar-spondylolisthesis,./diagnosis-and-treatment-of-degenerative-lumbar-spondylolisthesis,20180712170340
"ACR Appropriateness Criteria® acute trauma to the ankle.",https://www.guideline.gov/summaries/summary/48284/acr-appropriateness-criteria--acute-trauma-to-the-ankle,./acr-appropriateness-criteria--acute-trauma-to-the-ankle,20180712165254
"Practice parameter update: management issues for women with epilepsy-focus on pregnancy (an evidence-based review): vitamin K, folic acid, blood levels, and breastfeeding. Report of the Quality Standards Subcommittee and Therapeutics and Technology Assessment Subcommittee of the American Academy of Neurology and American Epilepsy Society.",https://www.guideline.gov/summaries/summary/14679/practice-parameter-update-management-issues-for-women-with-epilepsyfocus-on-pregnancy-an-evidencebased-review-vitamin-k-folic-acid-blood-levels-and-breastfeeding-report-of-the-quality-standards-subcommittee-and-therapeutics-and-technology-assessment-subcommitt,./practice-parameter-update-management-issues-for-women-with-epilepsyfocus-on-pregnancy-an-evidencebased-review-vitamin-k-folic-acid-blood-levels-and-breastfeeding-report-of-the-quality-standards-subcommittee-and-therapeutics-and-technology-assessment-subc,20180712213723
"Treatment of Cushing's syndrome: an Endocrine Society clinical practice guideline.",https://www.guideline.gov/summaries/summary/49658/treatment-of-cushings-syndrome-an-endocrine-society-clinical-practice-guideline,./treatment-of-cushings-syndrome-an-endocrine-society-clinical-practice-guideline,20180712165827
"Evidence report: the efficacy and safety of mitoxantrone (Novantrone) in the treatment of multiple sclerosis. Report of the Therapeutics and Technology Assessment Subcommittee of the American Academy of Neurology.",https://www.guideline.gov/summaries/summary/24497/evidence-report-the-efficacy-and-safety-of-mitoxantrone-novantrone-in-the-treatment-of-multiple-sclerosis-report-of-the-therapeutics-and-technology-assessment-subcommittee-of-the-american-academy-of-neurology,./evidence-report-the-efficacy-and-safety-of-mitoxantrone-novantrone-in-the-treatment-of-multiple-sclerosis-report-of-the-therapeutics-and-technology-assessment-subcommittee-of-the-american-academy-of-neurology,20180712170200
"Somatostatin analogues for the management of neuroendocrine tumours.",https://www.guideline.gov/summaries/summary/49967/somatostatin-analogues-for-the-management-of-neuroendocrine-tumours,./somatostatin-analogues-for-the-management-of-neuroendocrine-tumours,20180712165444
"A.S.P.E.N. clinical guidelines: support of pediatric patients with intestinal failure at risk of parenteral nutrition–associated liver disease.",https://www.guideline.gov/summaries/summary/48330/aspen-clinical-guidelines-support-of-pediatric-patients-with-intestinal-failure-at-risk-of-parenteral-nutrition-associated-liver-disease,./aspen-clinical-guidelines-support-of-pediatric-patients-with-intestinal-failure-at-risk-of-parenteral-nutrition-associated-liver-disease,20180712165845
"Best evidence statement (BESt). Adding home based services to complement center based intervention for children with autism.",https://www.guideline.gov/summaries/summary/44348/best-evidence-statement-best-adding-home-based-services-to-complement-center-based-intervention-for-children-with-autism,./best-evidence-statement-best-adding-home-based-services-to-complement-center-based-intervention-for-children-with-autism,20180712165815
