"guideline anchor","guideline url",mirror_file,timestamp
"Adult depression in primary care: percentage of patients with a diagnosis of major depression or persistent depressive disorder with documentation of DSM-5 criteria at the time of the diagnosis.",https://www.qualitymeasures.ahrq.gov/summaries/summary/50182/adult-depression-in-primary-care-percentage-of-patients-with-a-diagnosis-of-major-depression-or-persistent-depressive-disorder-with-documentation-of-dsm5-criteria-at-the-time-of-the-diagnosis,./Adult-depression-in-primary-care-percentage-of-patients-with-a-diagnosis-of-major-depression-or-persistent-depressive-disorder-with-documentation-of-DSM5-criteria-at-the-time-of-the-diagnosis,20180712190013
"Diagnostic imaging: percentage of imaging studies for patients aged 18 years and older with knee pain who undergo knee MRI or MRA who are known to have had knee radiographs performed within the preceding three months based on information from the radiology information system (RIS), patient-provided radiological history, or other health-care source.",https://www.qualitymeasures.ahrq.gov/summaries/summary/49280/diagnostic-imaging-percentage-of-imaging-studies-for-patients-aged-18-years-and-older-with-knee-pain-who-undergo-knee-mri-or-mra-who-are-known-to-have-had-knee-radiographs-performed-within-the-preceding-three-months-based-on-information-from-the-radiology-info,./diagnostic-imaging-percentage-of-imaging-studies-for-patients-aged-18-years-and-older-with-knee-pain-who-undergo-knee-mri-or-mra-who-are-known-to-have-had-knee-radiographs-performed-within-the-preceding-three-months-based-on-information-from-the-radiolog,20180620170656
"Epilepsy: percentage of all patients with a diagnosis of epilepsy with active anti-seizure therapy side effects for whom an intervention was discussed.",https://www.qualitymeasures.ahrq.gov/summaries/summary/49326/epilepsy-percentage-of-all-patients-with-a-diagnosis-of-epilepsy-with-active-antiseizure-therapy-side-effects-for-whom-an-intervention-was-discussed,./epilepsy-percentage-of-all-patients-with-a-diagnosis-of-epilepsy-with-active-antiseizure-therapy-side-effects-for-whom-an-intervention-was-discussed,20180620170318
"Diagnostic imaging: percentage of cancers detected at screening mammography that are invasive carcinoma less than or equal to 10 mm or ductal carcinoma in situ (DCIS).",https://www.qualitymeasures.ahrq.gov/summaries/summary/49303/diagnostic-imaging-percentage-of-cancers-detected-at-screening-mammography-that-are-invasive-carcinoma-less-than-or-equal-to-10-mm-or-ductal-carcinoma-in-situ-dcis,./diagnostic-imaging-percentage-of-cancers-detected-at-screening-mammography-that-are-invasive-carcinoma-less-than-or-equal-to-10-mm-or-ductal-carcinoma-in-situ-dcis,20180620170729
"Hepatopancreatobiliary (HPB) cancer: proportion of patients with hepatocellular carcinoma (HCC) undergoing disease specific treatment (liver transplant, resection, ablation, trans-arterial chemoembolisation [TACE] or systemic anti-cancer therapy [SACT]) who die within 30 days of definitive treatment.",https://www.qualitymeasures.ahrq.gov/summaries/summary/50846/hepatopancreatobiliary-hpb-cancer-proportion-of-patients-with-hepatocellular-carcinoma-hcc-undergoing-disease-specific-treatment-liver-transplant-resection-ablation-transarterial-chemoembolisation-tace-or-systemic-anticancer-therapy-sact-who-die-within-30-days,./hepatopancreatobiliary-hpb-cancer-proportion-of-patients-with-hepatocellular-carcinoma-hcc-undergoing-disease-specific-treatment-liver-transplant-resection-ablation-transarterial-chemoembolisation-tace-or-systemic-anticancer-therapy-sact-who-die-within-3,20180620170258
"Venous thromboembolism (VTE) diagnosis and treatment: percentage of patients with VTE who are initially prescribed warfarin therapy with documentation in the medical record indicating a baseline INR was obtained.",https://www.qualitymeasures.ahrq.gov/summaries/summary/39416/venous-thromboembolism-vte-diagnosis-and-treatment-percentage-of-patients-with-vte-who-are-initially-prescribed-warfarin-therapy-with-documentation-in-the-medical-record-indicating-a-baseline-inr-was-obtained,./venous-thromboembolism-vte-diagnosis-and-treatment-percentage-of-patients-with-vte-who-are-initially-prescribed-warfarin-therapy-with-documentation-in-the-medical-record-indicating-a-baseline-inr-was-obtained,20180620170311
"Self-injury: age-standardized rate of hospitalization in a general hospital due to self-injury per 100,000 population age 15 and older.",https://www.qualitymeasures.ahrq.gov/summaries/summary/48971/selfinjury-agestandardized-rate-of-hospitalization-in-a-general-hospital-due-to-selfinjury-per-100000-population-age-15-and-older,./selfinjury-agestandardized-rate-of-hospitalization-in-a-general-hospital-due-to-selfinjury-per-100000-population-age-15-and-older,20180620170153
"Metabolism and nutrition: percentage of patients with enteral nutrition (EN) correctly monitored.",https://www.qualitymeasures.ahrq.gov/summaries/summary/43684/metabolism-and-nutrition-percentage-of-patients-with-enteral-nutrition-en-correctly-monitored,./metabolism-and-nutrition-percentage-of-patients-with-enteral-nutrition-en-correctly-monitored,20180620170246
"Toxicology: percentage of appropriately indicated renal replacement therapy (RRT) procedures.",https://www.qualitymeasures.ahrq.gov/summaries/summary/43707/toxicology-percentage-of-appropriately-indicated-renal-replacement-therapy-rrt-procedures,./toxicology-percentage-of-appropriately-indicated-renal-replacement-therapy-rrt-procedures,20180620170459
"Diagnostic flexible bronchoscopy: proportion of patients diagnosed with malignancy where sufficient tissue was obtained for genetic profiling/all tissue sent for profiling.",https://www.qualitymeasures.ahrq.gov/summaries/summary/50514/diagnostic-flexible-bronchoscopy-proportion-of-patients-diagnosed-with-malignancy-where-sufficient-tissue-was-obtained-for-genetic-profilingall-tissue-sent-for-profiling,./diagnostic-flexible-bronchoscopy-proportion-of-patients-diagnosed-with-malignancy-where-sufficient-tissue-was-obtained-for-genetic-profilingall-tissue-sent-for-profiling,20180620170126
